IPC_Section,IPC_Heading,BNS_Section,BNS_Heading
79,"Act done by a person justified, or by mistake of fact believing himself justified, by law",17,"Act done by a person justified, or by mistake of fact believing himself justified, by law"
80,Accident in doing a lawful act,18,Accident in doing a lawful act
81,"Act likely to cause harm, but done without criminal intent, and to prevent other harm",19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm"
82,Act of a child under seven years of age,20,Act of a child under seven years of age
83,Act of a child above seven and under twelve of immature understanding,21,Act of a child above seven and under twelve years of age of immature understanding
84,Act of a person of unsound mind,22,Act of a person of unsound mind
85,Offence requiring a particular intent or knowledge committed by one who is intoxicated,23,Offence requiring a particular intent or knowledge committed by one who is intoxicated
86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,24,Offence requiring a particular intent or knowledge committed by one who is intoxicated
87,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent",25,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent"
88,"Act not intended to cause death, done by consent in good faith for person's benefit",26,"Act not intended to cause death, done by consent in good faith for person's benefit"
89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian",27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian"
90,Consent known to be given under fear or misconception,28,Consent known to be given under fear or misconception
91,Exclusion of acts which are offences independently of harm caused,29,Exclusion of acts which are offences independently of harm caused
92,Act done in good faith for benefit of a person without consent,30,Act done in good faith for benefit of a person without consent
93,Communication made in good faith,31,Communication made in good faith
94,Act to which a person is compelled by threats,32,Act to which a person is compelled by threats
95,Act causing slight harm,33,Act causing slight harm
96,Things done in private defence,34,Things done in private defence
97,Right of private defence of the body and of property,35,Right of private defence of the body and of property
98,"Right of private defence against the act of a person of unsound mind, etc.",36,"Right of private defence against the act of a person of unsound mind, etc."
99,Act against which there is no right of private defence,37,Acts against which there is no right of private defence
100,When the right of private defence of the body extends to causing death,38,When right of private defence of body extends to causing death
101,When such right extends to causing any harm other than death,39,When such right extends to causing any harm other than death
102,Commencement and continuance of the right of private defence of the body,40,Commencement and continuance of right of private defence of body
103,When the right of private defence of property extends to causing death,41,When right of private defence of property extends to causing death
104,When such right extends to causing any harm other than death,42,When such right extends to causing any harm other than death
105,Commencement and continuance of the right of private defence of property,43,Commencement and continuance of right of private defence of property
106,Right of private defence against deadly assault when there is risk of harm to innocent person,44,Right of private defence against deadly assault when there is risk of harm to innocent person
107,Abetment of a thing,45,Abetment of a thing
108,Abettor,46,Abettor
108A,Abetment in India of offences outside India,47,Abetment in India of offences outside India
Repealed,Repealed,48,Abetment outside India for offence in India
109,Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment,49,Punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment
110,Punishment of abetment if person abetted does act with a different intention from that of the abettor,50,Punishment of abetment if person abetted does act with different intention from that of abettor
111,Liability of abettor when one act abetted and for act done,51,Liability of abettor when one act abetted and different act done.
112,Abettor when liable to cumulative punishment for act abetted and for act done.,52,Abettor when liable to cumulative punishment for act abetted and for act done.
113,Liability of abettor for an effect caused by the act abetted different from that intended by the abettor,53,Liability of abettor for an effect caused by act abetted different from that intended by abettor
114,Abettor present when offence is committed,54,Abettor present when offence is committed
115,Abetment of offence punishable with death or imprisonment for life—if the offence not committed,55,Abetment of offence punishable with death or imprisonment for life
116,Abetment of offence punishable with imprisonment—if the offence be not committed,56,Abetment of offence punishable with imprisonment
117,Abetting commission of offence by the public or by more than ten persons,57,Abetting commission of offence by public or by more than ten persons
118,Concealing design to commit offence punishable with death or imprisonment for life,58,Concealing design to commit offence punishable with death or imprisonment for life
119,Public servant concealing design to commit offence which it is his duty to prevent,59,Public servant concealing design to commit offence which it is his duty to prevent
120,Concealing design to commit offence punishable with imprisonment,60,Concealing design to commit offence punishable with imprisonment
120A,Definition of criminal conspiracy,61(1),Criminal conspiracy
120B,Punishment of criminal conspiracy,61(2),Criminal conspiracy
121,"Waging, or attempting to wage war, or abetting waging of war, against the Government of India",147,"Waging, or attempting to wage war, or abetting waging of war, against the Government of India"
121A,Conspiracy to commit offences punishable by section 121,148,Conspiracy to commit offences punishable by section 147
122,"Collecting arms, etc., with intention of waging war against the Government of India",149,"Collecting arms, etc., with intention of waging war against Government of India"
123,Concealing with intent to facilitate design to wage war,150,Concealing with intent to facilitate design to wage war
124,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power",151,"Assaulting President, Governor, etc., with intent to compel or restrain exercise of any lawful power"
124A,Sedition,152,"Acts endangering sovereignty, unity and integrity of India"
125,Waging war against any Asiatic power in alliance with the Government of India,153,Waging war against Government of any foreign State at peace with Government of India
126,Committing depredation on territories of power at peace with the Government of India,154,Committing depredation on territories of foreign State at peace with Government of India
127,Receiving property taken by war or depredation mentioned in sections 125 and 126,155,Receiving property taken by war or depredation mentioned in sections 153 and 154
128,Public servant voluntarily allowing prisoner of State or war to escape,156,Public servant voluntarily allowing prisoner of State or war to escape
129,Public servant negligently suffering such prisoner to escape,157,Public servant negligently suffering such prisoner to escape
130,"Aiding escape of, rescuing or harbouring such prisoner",158,"Aiding escape of, rescuing or harbouring such prisoner"
131,"Abetting mutiny, attempting to seduce a soldier, sailor or airman from his duty",159,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty"
132,"Abetment of mutiny, if mutiny is committed in consequence thereof",160,"Abetment of mutiny, if mutiny is committed in consequence thereof"
133,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office",161,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office"
134,"Abetment of such assault, if the assault is committed",162,"Abetment of such assault, if the assault committed"
135,"Abetment of desertion of soldier, sailor or airman",163,"Abetment of desertion of soldier, sailor or airman"
136,Harbouring deserter,164,Harbouring deserter
137,"Deserter concealed on board, merchant vessel through negligence of master",165,Deserter concealed on board merchant vessel through negligence of master
138,"Abetment of act of insubordination by soldier, sailor or airman",166,"Abetment of act of insubordination by soldier, sailor or airman"
138A,(Repealed) Application of foregoing sections to the Indian Marine Service.,Repealed In BNS,Repealed In BNS
139,Persons subject to certain Acts,167,Persons subject to certain Acts.
140,"Wearing garb or carrying token used by soldier, sailor or airman",168,"Wearing garb or carrying token used by soldier, sailor or airman."
141,Unlawful assembly,189(1),Unlawful assembly
142,Being member of unlawful assembly,189(2),Unlawful assembly
143,Punishment,189(3),Unlawful assembly
144,Joining unlawful assembly armed with deadly weapon,189(4),Unlawful assembly
145,"Joining or continuing in unlawful assembly, knowing it has been commanded to disperse",189(3)(5),Unlawful assembly
146,Rioting,191(1),Rioting
147,Punishment for rioting,191(2),Rioting
148,"Rioting, armed with deadly weapon",191(3),Rioting
149,Every member of unlawful assembly guilty of offence committed in prosecution of common object,190,Every member of unlawful assembly guilty of offence committed in prosecution of common object
150,"Hiring, or conniving at hiring, of persons to join unlawful assembly",189(6),Unlawful assembly
151,Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse,189(5),Unlawful assembly
152,"Assaulting or obstructing public servant when suppressing riot, etc.",195,"Assaulting or obstructing public servant when suppressing riot, etc."
153,Wantonly giving provocation with intent to cause riot – If rioting be committed – If not committed,192,Wantonly giving provocation with intent to cause riot: if rioting be committed; if not committed
153A,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony",196,"Promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony"
153B,"Imputations, assertions prejudicial to national integration",197,"Imputations, assertions prejudicial to national integration"
154,Owner or occupier of land on which an unlawful assembly is held,193(1),Owner of land on which an unlawful assembly or riot takes place
155,Liability of person for whose benefit riot is committed,193(2),"Liability of owner, occupier, etc., of land on which an unlawful assembly or riot takes place"
156,Liability of agent or owner or occupier for whose benefit riot is committed,193(3),"Liability of agent of owner, occupier, etc., of land on which an unlawful assembly or riot takes place"
157,Harbouring persons hired for an unlawful assembly,189(7),Unlawful assembly
158,Being hired to take part in an unlawful assembly or riot,189(8)(9),Unlawful assembly
159,Affray,194(1),Affray
160,Punishment for committing affray,194(2),Affray
166,"Public servant disobeying law, with intent to cause injury to any person",198,"Public servant disobeying law, with intent to cause injury to any person"
167,Public servant framing an incorrect document with intent to cause injury,201,Public servant framing an incorrect document with intent to cause injury
168,Public servant unlawfully engaging in trade,202,Public servant unlawfully engaging in trade
169,Public servant unlawfully buying or bidding for property,203,Public servant unlawfully buying or bidding for property
170,Personating a public servant,204,Personating a public servant
171,Wearing garb or carrying token used by public servant with fraudulent intent,205,Wearing garb or carrying token used by public servant with fraudulent intent
171A,"“Candidate”, “electoral right” defined",206,"Candidate, electoral right defined"
171B,Bribery,207,Bribery
171C,Under influence at elections,171,Undue influence at elections
171D,Personation at elections,172,Personation at elections
171E,Punishment for bribery,173,Punishment for bribery
171F,Punishment for undue influence or personation at an election,174,Punishment for undue influence or personation at an election
171G,False statement in connection with an election,175,False statement in connection with an election
171H,Illegal payment in connection with an election,176,Illegal payments in connection with an election
171I,Failure to keep election accounts,177,Failure to keep election accounts
172,Absconding to avoid service of summons or other proceeding,206,Absconding to avoid service of summons or other proceeding
173,"Preventing service of summons or other proceeding, or preventing publication thereof",207,"Preventing service of summons or other proceeding, or preventing publication thereof"
174,Nonattendance in obedience to an order from public servant,208,Nonattendance in obedience to an order from public servant
174A,Nonappearance in response to a proclamation under section 82 of Act 2 of 1974,209,"Nonappearance in response to a proclamation under section 84 of Nyaya Nagarik Suraksha Sanhita, 2023"
175,"Omission to produce document or electronic record to public servant by person, legally bound to produce it",210,Omission to produce document or electronic record to public servant by person legally bound to produce it
176,Omission to give notice or information to public servant by person legally bound to give it,211,Omission to give notice or information to public servant by person legally bound to give it.
177,Furnishing false information,212,Furnishing false information
178,Refusing oath or affirmation when duly required by public servant to make it,213,Refusing oath or affirmation when duly required by public servant to make it
179,Refusing to answer public servant authorised to question,214,Refusing to answer public servant authorised to question
180,Refusing to sign statement,215,Refusing to sign statement
181,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation,216,False statement on oath or affirmation to public servant or person authorised to administer an oath or affirmation
182,"False information, with intent to cause public servant to use his lawful power to the injury of another person",217,"False information, with intent to cause public servant to use his lawful power to injury of another person"
183,Resistance to the taking of property by the lawful authority of a public servant,218,Resistance to taking of property by lawful authority of a public servant
184,Obstructing sale of property offered for sale by authority of public servant,219,Obstructing sale of property offered for sale by authority of public servant
185,Illegal purchase or bid for property offered for sale by authority of public servant,220,Illegal purchase or bid for property offered for sale by authority of public servant
186,Obstructing public servant in discharge of public functions,221,Obstructing public servant in discharge of public functions
187,Omission to assist public servant when bound by law to give assistance,222,Omission to assist public servant when bound by law to give assistance
188,Disobedience to order duly promulgated by public servant,223,Disobedience to order duly promulgated by public servant
189,Threat of injury to public servant,224,Threat of injury to public servant
190,Threat of injury to induce person to refrain from applying for protection to public servant,225,Threat of injury to induce person to refrain from applying for protection to public servant
191,Giving false evidence,227,Giving false evidence
192,Fabricating false evidence,228,Fabricating false evidence
193,Punishment for false evidence,229,Punishment for false evidence
194,Giving or fabricating false evidence with intent to procure conviction of capital offence,230,Giving or fabricating false evidence with intent to procure conviction of capital offence
195,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment,231,Giving or fabricating false evidence with intent to procure conviction of offence punishable with imprisonment for life or imprisonment
195A,Threatening any person to give false evidence,232,Threatening any person to give false evidence
196,Using evidence known to be false,233,Using evidence known to be false
197,Issuing or signing false certificate,234,Issuing or signing false certificate
198,Using as true a certificate known to be false,235,Using as true a certificate known to be false
199,False statement made in declaration which is by law receivable as evidence,236,False statement made in declaration which is by law receivable as evidence
200,Using as true such declaration knowing it to be false,237,Using as true such declaration knowing it to be false
201,"Causing disappearance of evidence of offence, or giving false information to screen offender",238,"Causing disappearance of evidence of offence, or giving false information to screen offender"
202,Intentional omission to give information of offence by person bound to inform,239,Intentional omission to give information of offence by person bound to inform
203,Giving false information respecting an offence committed,240,Giving false information respecting an offence committed
204,Destruction of document or electronic record to prevent its production as evidence,241,Destruction of document or electronic record to prevent its production as evidence
205,False personation for purpose of act or proceeding in suit or prosecution,242,False personation for purpose of act or proceeding in suit or prosecution
206,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution,243,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution
207,Fraudulent claim to property to prevent its seizure as forfeited or in execution,244,Fraudulent claim to property to prevent its seizure as forfeited or in execution
208,Fraudulently suffering decree for sum not due,245,Fraudulently suffering decree for sum not due
209,Dishonestly making false claim in Court,246,Dishonestly making false claim in Court
210,Fraudulently obtaining decree for sum not due,247,Fraudulently obtaining decree for sum not due
211,False charge of offence made with intent to injure,248,False charge of offence made with intent to injure
212,Harbouring offender,249,Harbouring offender
213,"Taking gift, etc., to screen an offender from punishment",250,"Taking gift, etc., to screen an offender from punishment"
214,Offering gift or restoration of property in consideration of screening offender,251,Offering gift or restoration of property in consideration of screening offender
215,"Taking gift to help to recover stolen property, etc.",252,"Taking gift to help to recover stolen property, etc."
216,Harbouring offender who has escaped from custody or whose apprehension has been ordered,253,Harbouring offender who has escaped from custody or whose apprehension has been ordered
216A,Penalty for harbouring robbers or dacoits,254,Penalty for harbouring robbers or dacoits
216B,"Definition of “harbour” in sections 212, 216 and 216A",2(13),Definitions
217,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture,255,Public servant disobeying direction of law with intent to save person from punishment or property from forfeiture
218,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture,256,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture
219,"Public servant in judicial proceeding corruptly making report, etc., contrary to law",257,"Public servant in judicial proceeding corruptly making report, etc., contrary to law"
220,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law,258,Commitment for trial or confinement by person having authority who knows that he is acting contrary to law
221,Intentional omission to apprehend on the part of public servant bound to apprehend,259,Intentional omission to apprehend on part of public servant bound to apprehend
222,Intentional omission to apprehend on the part of public servant bound to apprehend person under sentence or lawfully committed,260,Intentional omission to apprehend on part of public servant bound to apprehend person under sentence or lawfully committed
223,Escape from confinement or custody negligently suffered by public servant,261,Escape from confinement or custody negligently suffered by public servant
224,Resistance or obstruction by a person to his lawful apprehension,262,Resistance or obstruction by a person to his lawful apprehension
225,Resistance or obstruction to lawful apprehension of another person,263,Resistance or obstruction to lawful apprehension of another person
225A,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for",264,"Omission to apprehend, or sufferance of escape, on part of public servant, in cases not otherwise provided for"
225B,"Resistance or obstruction to lawful apprehension, or escape or rescue, in cases not otherwise provided for",265,"Resistance or obstruction to lawful apprehension, or escape or rescue, in cases not otherwise provided for"
226,Unlawful return from transportation,Repealed in BNS,Repealed in BNS
227,Violation of condition of remission of punishment,266,Violation of condition of remission of punishment
228,Intentional insult or interruption to public servant sitting in judicial proceeding,267,Intentional insult or interruption to public servant sitting in judicial proceeding
228A,"Disclosure of identity of the victim of certain offences, etc.",72,"Disclosure of identity of victim of certain offences, etc."
229,Personation of a juror or assessor,268,Personation of assessor
229A,Failure by person released on bail or bond to appear in Court,269,Failure by person released on bail or bond to appear in Court
230,“Coin” defined,178,"Counterfeiting coin, Government stamps, currencynotes or banknotes"
231,Counterfeiting coin,178,"Counterfeiting coin, Government stamps, currencynotes or banknotes"
232,Counterfeiting Indian coin,178,"Counterfeiting coin, Government stamps, currencynotes or banknotes"
233,Making or selling instrument for counterfeiting coin,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currencynotes or banknotes"
234,Making or selling instrument for counterfeiting Indian coin,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currencynotes or banknotes"
235,"Possession of instrument, or material for the purpose of using the same for counterfeiting coin",181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currencynotes or banknotes"
236,Abetting in India the counterfeiting out of India of coin,Repealed in BNS,Repealed in BNS
237,Import or export of counterfeit coin,179,"Using as genuine, forged or counterfeit coin, Government stamp, currencynotes or banknotes"
238,Import or export of counterfeits of Indian coin,179,"Using as genuine, forged or counterfeit coin, Government stamp, currencynotes or banknotes"
239,"Delivery of coin, possessed with knowledge that it is counterfeit",179,"Using as genuine, forged or counterfeit coin, Government stamp, currencynotes or banknotes"
240,"Delivery of Indian coin, possessed with knowledge that it is counterfeit",180,"Possession of forged or counterfeit coin, Government stamp, currency notes or banknotes"
241,"Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit",Repealed in BNS,Repealed in BNS
242,Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof,180 Explanation,"Possession of forged or counterfeit coin, Government stamp, currency notes or banknotes"
243,Possession of Indian coin by person who knew it to be altered when he became possessed thereof,180 Explanation,"Possession of forged or counterfeit coin, Government stamp, currency notes or banknotes"
244,Person employed in mint causing coin to be of different weight or composition from that fixed by law,187,Person employed in mint causing coin to be of different weight or composition from that fixed by law
245,Unlawfully taking coining instrument from mint,188,Unlawfully taking coining instrument from mint
246,Fraudulently or dishonestly diminishing weight or altering composition of coin,178(5),"Counterfeiting coin, Government stamps, currencynotes or banknotes"
247,Fraudulently or dishonestly diminishing weight or altering composition of Indian coin,178(5),"Counterfeiting coin, Government stamps, currencynotes or banknotes"
248,Altering appearance of coin with intent that it shall pass as coin of different description,178(5),"Counterfeiting coin, Government stamps, currencynotes or banknotes"
249,Altering appearance of Indian coin with intent that it shall pass as coin of different description,178(5),"Counterfeiting coin, Government stamps, currencynotes or banknotes"
250,"Delivery of coin, possessed with knowledge that it is altered",180,"Possession of forged or counterfeit coin, Government stamp, currency notes or banknotes"
251,"Delivery of Indian coin, possessed with knowledge that it is altered",180,"Possession of forged or counterfeit coin, Government stamp, currency notes or banknotes"
252,Possession of coin by person who knew it to be altered when he became possessed thereof,180 Explanation,"Possession of forged or counterfeit coin, Government stamp, currency notes or banknotes"
255,Counterfeiting Government stamp,178,"Counterfeiting coin, Government stamps, currencynotes or banknotes"
256,Having possession of instrument or material for counterfeiting Government stamp,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currencynotes or banknotes"
257,Making or selling instrument for counterfeiting Government stamp,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currencynotes or banknotes"
258,Sale of counterfeit Government stamp,181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currencynotes or banknotes"
259,Having possession of counterfeit Government stamp,180,"Possession of forged or counterfeit coin, Government stamp, currency notes or banknotes"
260,Using as genuine a Government stamp known to be counterfeit,179,"Using as genuine, forged or counterfeit coin, Government stamp, currency notes or bank notes"
261,"Effacing, writing fromsubstance bearing Government stamp, or removing fromdocument a stamp used for it,with intent to cause loss toGovernment",183,"Effacing writing from substance bearing Government stamp, or removing from document a stampused for it, with intent to cause lossto Government"
262,Using Government stamp known to have been before used,184,Using Government stamp known to have been before used
263,Erasure of mark denoting that stamp has been used,185,Erasure of mark denoting that stamp has been used
263A,Prohibition of fictitious stamps,186,Prohibition of fictitious stamps
264,Fraudulent use of false instrument for weighing,Repealed in BNS,Repealed in BNS
265,Fraudulent use of false weight or measure,Repealed in BNS,Repealed in BNS
266,Being in possession of false weight or measure,Repealed in BNS,Repealed in BNS
267,Making or selling false weight or measure,Repealed in BNS,Repealed in BNS
268,Public nuisance,270,Public nuisance
269,Negligent act likely to spread infection of disease dangerous to life,271,Negligent act likely to spread infection of disease dangerous to life
270,Malignant Act likely to spread infection of disease dangerous to life,272,Malignant act likely to spread infection of disease dangerous to life
271,Disobedience to quarantine rule,273,Disobedience to quarantine rule
272,Adulteration of food or drink intended for sale,274,Adulteration of food or drink intended for sale
273,Sale of noxious food or drink,275,Sale of noxious food or drink
274,Adulteration of drugs,276,Adulteration of drugs
275,Sale of adulterated drugs,277,Sale of adulterated drugs
276,Sale of drug as a different drug or preparation,278,Sale of drug as a different drug or preparation
277,Fouling water of public spring or reservoir,279,Fouling water of public spring or reservoir
278,Making atmosphere noxious to health,280,Making atmosphere noxious to health
279,Rash driving or riding on a public way,281,Rash driving or riding on a public way
280,Rash navigation of vessel,282,Rash navigation of vessel
281,"Exhibition of false light, mark or buoy",283,"Exhibition of false light, mark or buoy"
282,Conveying person by water for hire in unsafe or overloaded vessel,284,Conveying person by water for hire in unsafe or overloaded vessel
283,Danger or obstruction in public way or line of navigation,285,Danger or obstruction in public way or line of navigation
284,Negligent conduct with respect to poisonous substance,286,Negligent conduct with respect to poisonous substance
285,Negligent conduct with respect to fire or combustible matter,287,Negligent conduct with respect to fire or combustible matter
286,Negligent conduct with respect to explosive substance,288,Negligent conduct with respect to explosive substance
287,Negligent conduct with respect to machinery,289,Negligent conduct with respect to machinery
288,"Negligent conduct with respect to pulling down or repairing buildings, etc.",290,"Negligent conduct with respect to pulling down, repairing or constructing buildings etc."
289,Negligent conduct with respect to animal,291,Negligent conduct with respect to animal
290,Punishment for public nuisance in cases not otherwise provided for,292,Punishment for public nuisance in cases not otherwise provided for
291,Continuance of nuisance after injunction to discontinue,293,Continuance of nuisance after injunction to discontinue
292,"Sale, etc., of obscene books, etc.",294,"Sale, etc., of obscene books, etc."
293,"Sale, etc., of obscene objects to young person",295,"Sale, etc., obscene objects to child"
294,Obscene acts and songs,296,Obscene acts and songs
294A,Keeping lottery office,297,Keeping lottery office
295,Injuring or defiling place of worship with intent to insult the religion of any class,298,Injuring or defiling place of worship with intent to insult religion of any class
295A,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs",299,"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs"
296,Disturbing religious assembly,300,Disturbing religious assembly
297,"Trespassing on burial places, etc.",301,"Trespassing on burial places, etc."
298,"Uttering words, etc., with deliberate intent to wound the religious feelings of any person",302,"Uttering words, etc., with deliberate intent to wound religious feelings of any person"
299,Culpable homicide,100,Culpable homicide
300,Murder,101,Murder
301,Culpable homicide by causing death of person other than person whose death was intended,102,Culpable homicide by causing death of person other than person whose death was intended
302,Punishment for murder,103,Punishment for murder
303,Punishment for murder by lifeconvict,104,Punishment for murder by lifeconvict
304,Punishment for culpable homicide not amounting to murder,105,Punishment for culpable homicide not amounting to murder
304A,Causing death by negligence,106,Causing death by negligence
304B,Dowry death,80,Dowry death
305,Abetment of suicide of child or insane person,107,Abetment of suicide of child or person of unsound mind
306,Abetment of suicide,108,Abetment of suicide
307,Attempt to murder,109,Attempt to murder
308,Attempt to commit culpable homicide,110,Attempt to commit culpable homicide
309,Attempt to commit suicide,226,Attempt to commit suicide to compel or restrain exercise of lawful power
310,Thug,Repealed in BNS,Repealed in BNS
311,Punishment,Repealed in BNS,Repealed in BNS
312,Causing miscarriage,88,Causing miscarriage
313,Causing miscarriage without woman’s consent,89,Causing miscarriage without woman’s consent
314,Death caused by act done with intent to cause miscarriage,90,Death caused by act done with intent to cause miscarriage
